foto,estrellas,forks,suscriptores,incidencias_abiertas
2026-08-20,1,0,0,0
2026-08-21,1,0,0,1
2026-08-22,1,0,0,5
2026-08-23,1,0,0,0
2026-08-24,1,0,0,0
